date,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,is_renovated
2014-06-24,438000.0,3,1.75,6380,1.0,0.0,3,7,730.0,1948,0.0,98115,0.0
2015-03-02,719000.0,4,2.5,7173,2.0,0.0,3,8,0.0,2005,0.0,98052,0.0
2014-11-10,580500.0,3,2.5,3980,2.0,0.0,3,8,0.0,2003,0.0,98027,0.0
2014-12-01,280000.0,2,1.5,1265,3.0,0.0,3,7,0.0,2005,0.0,98133,0.0
2014-06-24,687500.0,4,1.75,5000,1.5,0.0,4,7,820.0,1929,0.0,98117,0.0
2014-11-10,535000.0,3,1.0,3000,1.5,0.0,4,8,0.0,1929,0.0,98117,0.0
2014-12-03,322500.0,4,2.75,6659,1.0,0.0,3,7,780.0,1981,0.0,98058,0.0
2014-06-13,696000.0,3,2.5,3060,1.5,0.0,3,8,790.0,1930,2002.0,98115,1.0
2014-05-28,550000.0,4,1.0,34848,1.0,0.0,1,5,730.0,1933,0.0,98052,0.0
2014-12-30,640000.0,4,2.0,6000,2.0,0.0,4,8,0.0,1904,0.0,98107,0.0
2015-02-13,240000.0,4,1.0,8075,1.0,0.0,2,7,330.0,1969,0.0,98001,0.0
2014-06-20,605000.0,4,2.5,7553,2.0,0.0,3,8,0.0,1996,0.0,98056,0.0
2014-07-15,625000.0,4,2.5,5520,2.0,0.0,3,9,0.0,2000,0.0,98074,0.0
2014-08-11,775000.0,4,2.25,24186,1.0,0.0,3,8,1620.0,1984,0.0,98166,0.0
2014-07-07,861990.0,5,2.75,5639,2.0,0.0,3,9,0.0,2014,0.0,98053,0.0
2014-10-28,685000.0,3,1.0,2280,2.0,0.0,3,7,0.0,1922,0.0,98119,0.0
2014-07-29,309000.0,3,1.0,9656,1.0,0.0,4,6,360.0,1959,0.0,98058,0.0
2014-07-18,488000.0,3,2.5,13603,2.0,0.0,3,8,0.0,2003,0.0,98019,0.0
2015-03-25,210490.0,3,1.0,8528,1.0,0.0,3,6,0.0,1966,0.0,98023,0.0
2014-07-16,785000.0,4,2.5,13416,2.0,0.0,4,9,0.0,1981,0.0,98007,0.0
2015-04-28,450000.0,3,1.75,5963,1.0,0.0,4,7,0.0,1953,0.0,98115,0.0
2015-03-11,1350000.0,3,2.5,65005,1.0,1.0,5,9,588.0,1953,0.0,98070,0.0
2014-09-16,228000.0,3,1.0,9199,1.0,0.0,3,7,0.0,1955,0.0,98148,0.0
2015-02-17,345000.0,5,2.5,9134,1.0,0.0,4,8,1510.0,1966,0.0,98056,0.0
2014-12-31,600000.0,3,1.75,4080,1.0,0.0,4,7,410.0,1950,0.0,98117,0.0
2015-02-05,585000.0,2,1.75,8550,1.0,0.0,3,7,990.0,1981,0.0,98117,0.0
2015-03-03,920000.0,5,2.25,6000,1.5,0.0,3,8,600.0,1927,0.0,98105,0.0
2014-05-12,885000.0,4,2.5,5000,2.0,0.0,3,9,0.0,1995,0.0,98105,0.0
2014-08-19,292500.0,4,2.5,4495,2.0,0.0,3,7,0.0,2008,0.0,98042,0.0
2015-04-07,301000.0,3,2.5,4750,2.0,0.0,3,8,0.0,2003,0.0,98042,0.0
2014-08-27,951000.0,5,3.25,14342,2.0,0.0,4,8,0.0,1968,0.0,98008,0.0
2015-02-23,430000.0,4,3.0,9976,2.0,0.0,3,8,0.0,1991,0.0,98059,0.0
2014-12-10,650000.0,3,2.25,21235,1.0,0.0,4,8,560.0,1959,0.0,98166,0.0
2014-08-28,289000.0,3,1.75,8400,1.0,0.0,3,7,0.0,1954,0.0,98148,0.0
2014-10-21,505000.0,3,1.75,8690,2.0,0.0,5,8,0.0,1973,0.0,98166,0.0
2014-12-07,549000.0,3,1.75,1044,3.0,0.0,3,8,0.0,2014,0.0,98115,0.0
2014-06-03,425000.0,3,2.25,6000,1.0,0.0,3,7,550.0,1979,0.0,98122,0.0
2014-11-20,317625.0,3,2.75,3809,1.5,0.0,5,7,1000.0,1925,0.0,98144,0.0
2014-09-09,975000.0,4,2.5,11049,2.0,0.0,3,10,0.0,1989,0.0,98004,0.0
2014-10-09,287000.0,4,2.5,4648,2.0,0.0,3,7,0.0,2005,0.0,98001,0.0
2014-08-25,204000.0,3,1.0,12070,1.0,0.0,4,7,0.0,1968,0.0,98042,0.0
2014-06-12,1330000.0,5,2.25,20158,1.0,0.0,3,8,1600.0,1965,0.0,98004,0.0
2014-09-12,1040000.0,5,3.25,50094,1.0,0.0,4,11,1700.0,1973,0.0,98005,0.0
2015-01-05,325000.0,3,2.0,5612,1.0,0.0,4,7,0.0,1972,0.0,98034,0.0
2014-06-10,571000.0,4,2.0,7807,1.5,0.0,5,7,500.0,1916,0.0,98125,0.0
2014-07-10,360000.0,4,2.5,5000,2.0,0.0,3,8,0.0,2005,0.0,98038,0.0
2015-03-16,349000.0,3,1.75,50529,1.0,0.0,5,7,700.0,1965,0.0,98042,0.0
2014-11-05,832500.0,4,4.0,35102,2.0,0.0,4,10,1040.0,1986,0.0,98075,0.0
2014-10-13,380000.0,4,1.75,7300,1.0,0.0,3,7,880.0,1956,0.0,98008,0.0
2015-04-20,480000.0,3,1.0,5060,1.0,0.0,3,7,0.0,1941,0.0,98116,0.0
2014-06-09,410000.0,3,1.0,5060,1.0,0.0,4,7,500.0,1956,0.0,98133,0.0
2015-03-23,720000.0,4,2.5,39683,2.0,0.0,3,10,0.0,2002,0.0,98010,0.0
2014-12-02,390000.0,3,2.5,5100,2.0,0.0,3,8,0.0,2003,0.0,98038,0.0
2014-12-22,360000.0,4,2.5,5889,2.0,0.0,3,7,0.0,1992,0.0,98038,0.0
2014-10-28,355000.0,2,1.0,6720,1.0,0.0,3,7,1010.0,1948,0.0,98118,0.0
2015-01-28,356000.0,3,1.5,8712,1.0,0.0,3,8,0.0,1964,0.0,98059,0.0
2014-06-02,315000.0,3,1.0,6634,1.0,0.0,3,6,0.0,1952,0.0,98125,0.0
2014-11-14,940000.0,3,1.5,3600,2.0,0.0,3,9,240.0,1925,0.0,98119,0.0
2014-11-03,305000.0,5,2.25,8400,1.5,0.0,5,7,0.0,1961,0.0,98092,0.0
2014-06-18,461000.0,3,3.25,6278,2.0,0.0,3,9,790.0,2006,0.0,98056,0.0
2014-05-19,215000.0,2,2.25,2040,2.0,0.0,4,7,0.0,1979,0.0,98056,0.0
2014-09-04,335000.0,2,1.75,1066,2.0,0.0,3,7,265.0,2006,0.0,98136,0.0
2014-05-22,243500.0,4,2.5,7403,2.0,0.0,3,7,0.0,1988,0.0,98023,0.0
2015-03-11,1100000.0,5,2.75,6353,2.0,0.0,4,10,0.0,2001,0.0,98199,0.0
2015-02-26,153000.0,3,1.0,10500,1.0,0.0,3,7,0.0,1962,0.0,98023,0.0
2014-07-25,430000.0,3,1.5,5000,1.0,0.0,3,8,290.0,1939,0.0,98117,0.0
2014-12-23,700000.0,3,1.5,5000,1.0,0.0,3,8,290.0,1939,0.0,98117,0.0
2014-09-08,905000.0,4,2.5,10250,1.0,0.0,3,7,910.0,1946,1991.0,98040,1.0
2015-03-30,247500.0,3,1.75,15681,1.0,0.0,3,7,0.0,1967,0.0,98032,0.0
2014-09-12,199000.0,4,1.5,6400,1.0,0.0,4,7,0.0,1975,0.0,98023,0.0
2014-07-11,314000.0,3,1.75,41800,1.0,0.0,5,7,600.0,1980,0.0,98038,0.0
2014-05-16,437500.0,3,2.5,36847,2.0,0.0,3,9,0.0,1992,0.0,98045,0.0
2014-06-11,850830.0,3,2.5,13241,1.5,0.0,5,9,800.0,1910,0.0,98102,0.0
2014-10-27,555000.0,3,2.0,3478,1.5,0.0,4,7,540.0,1929,0.0,98117,0.0
2014-12-12,699950.0,3,2.25,107593,2.0,0.0,4,8,0.0,1983,0.0,98077,0.0
2014-10-07,1090000.0,3,2.5,8113,2.0,0.0,3,8,0.0,1950,2010.0,98004,1.0
2014-09-24,290000.0,3,1.0,33919,1.0,0.0,3,7,0.0,1954,0.0,98058,0.0
2015-04-02,375000.0,3,2.5,10005,1.0,0.0,4,8,880.0,1978,0.0,98058,0.0
2014-05-23,460000.0,3,1.0,4005,1.5,0.0,4,7,500.0,1939,0.0,98117,0.0
2014-07-23,188500.0,2,1.75,2493,1.0,0.0,4,8,0.0,1985,0.0,98198,0.0
2015-03-05,680000.0,4,2.5,28037,2.0,0.0,4,10,0.0,1991,0.0,98077,0.0
2014-08-27,470000.0,5,1.75,12342,2.0,0.0,4,7,0.0,1942,0.0,98052,0.0
2014-07-25,597750.0,4,2.5,9624,2.0,0.0,3,8,0.0,1984,0.0,98027,0.0
2015-03-04,570000.0,3,1.75,3328,1.0,0.0,5,6,560.0,1905,0.0,98103,0.0
2014-09-16,272500.0,3,1.75,12600,1.0,0.0,4,7,0.0,1980,0.0,98038,0.0
2014-11-24,329950.0,3,1.75,5969,1.0,0.0,3,7,1000.0,1971,0.0,98108,0.0
2014-10-28,480000.0,4,2.5,16171,2.0,0.0,3,9,710.0,2001,0.0,98001,0.0
2014-11-21,740500.0,3,3.5,6350,2.0,0.0,3,8,0.0,1900,0.0,98117,0.0
2014-06-26,518500.0,3,3.5,1102,3.0,0.0,3,8,0.0,2010,0.0,98103,0.0
2014-06-23,205425.0,2,1.0,6780,1.0,0.0,4,6,0.0,1945,0.0,98178,0.0
2015-01-08,171800.0,4,2.0,9600,1.0,0.0,3,6,0.0,1950,0.0,98168,0.0
2015-05-11,535000.0,4,1.0,2982,1.5,0.0,4,7,0.0,1925,0.0,98144,0.0
2015-01-02,660000.0,3,2.5,6474,1.0,0.0,3,8,840.0,1964,0.0,98177,0.0
2014-11-19,391500.0,3,2.0,9132,1.0,0.0,3,7,0.0,1987,0.0,98034,0.0
2015-04-06,395000.0,2,1.0,6000,1.0,0.0,3,6,0.0,1953,0.0,98117,0.0
2014-11-04,445000.0,4,1.75,4400,1.5,0.0,5,7,380.0,1924,0.0,98118,0.0
2014-06-18,770000.0,3,2.25,10204,2.0,0.0,3,9,0.0,1990,0.0,98052,0.0
2015-03-02,1450000.0,4,2.75,17789,1.5,0.0,3,8,770.0,1914,1992.0,98004,1.0
2014-07-17,445000.0,3,2.25,8201,1.0,0.0,3,8,480.0,1967,0.0,98178,0.0
2014-07-17,260000.0,4,2.25,8811,1.0,0.0,3,8,800.0,1978,0.0,98023,0.0
2014-06-13,822500.0,5,3.5,4960,2.0,0.0,5,7,600.0,1926,0.0,98103,0.0
2015-04-06,430000.0,4,2.5,4310,2.0,0.0,3,7,0.0,2004,0.0,98065,0.0
2015-01-05,212000.0,3,1.75,7875,1.0,0.0,4,7,0.0,1986,0.0,98092,0.0
2015-04-28,660500.0,4,2.25,9603,1.0,0.0,3,8,570.0,1986,0.0,98027,0.0
2014-06-12,784000.0,3,3.5,111078,1.5,0.0,3,9,1490.0,1989,0.0,98052,0.0
2014-05-12,453246.0,3,2.5,2287,2.0,0.0,3,8,620.0,2014,0.0,98029,0.0
2015-01-26,675000.0,4,3.5,2278,3.0,0.0,3,9,0.0,2005,0.0,98107,0.0
2014-08-13,199000.0,3,1.75,17390,1.0,0.0,4,7,0.0,1956,0.0,98003,0.0
2014-08-05,220000.0,4,1.75,7840,1.0,0.0,3,7,1010.0,1968,0.0,98003,0.0
2014-05-29,452000.0,4,2.25,10002,1.0,0.0,4,8,1250.0,1968,0.0,98028,0.0
2014-07-07,382500.0,2,1.0,4440,1.0,0.0,3,6,0.0,1981,0.0,98125,0.0
2014-05-07,519950.0,3,2.25,1249,3.0,0.0,3,8,0.0,2014,0.0,98107,0.0
2014-06-27,665000.0,2,1.0,3200,1.0,0.0,3,7,0.0,1925,0.0,98119,0.0
2014-07-08,527700.0,5,2.5,9375,1.0,0.0,4,8,1270.0,1968,0.0,98006,0.0
2015-05-08,205000.0,3,1.0,8579,1.0,0.0,4,7,600.0,1962,0.0,98058,0.0
2015-04-15,420000.0,3,1.0,8097,1.0,0.0,4,7,120.0,1923,0.0,98133,0.0
2015-02-27,500000.0,4,2.25,8517,1.0,0.0,4,8,650.0,1961,0.0,98006,0.0
2014-12-03,921500.0,4,2.5,315374,2.0,0.0,4,9,0.0,1994,0.0,98077,0.0
2014-06-25,890000.0,4,1.0,4000,2.0,0.0,3,8,180.0,1905,0.0,98109,0.0
2014-08-06,430000.0,2,2.5,60984,2.0,0.0,3,7,0.0,2007,0.0,98027,0.0
2014-10-30,258000.0,5,2.0,12500,1.0,0.0,4,8,1130.0,1960,0.0,98032,0.0
2014-11-04,511000.0,3,1.0,3455,1.0,0.0,3,7,450.0,1947,0.0,98103,0.0
2014-08-20,532170.0,3,2.0,3090,2.0,0.0,3,8,0.0,1990,0.0,98103,0.0
2015-04-09,560000.0,3,1.0,5000,1.5,0.0,3,7,0.0,1947,0.0,98107,0.0
2015-03-31,282950.0,3,1.0,8200,1.0,0.0,4,7,0.0,1954,0.0,98003,0.0
2015-04-01,2250000.0,4,3.25,19850,2.0,0.0,3,12,1640.0,2006,0.0,98006,0.0
2014-05-16,350000.0,1,1.0,5100,1.0,0.0,3,7,0.0,1942,0.0,98115,0.0
2014-07-28,215000.0,3,1.0,7669,1.0,0.0,4,7,0.0,1967,0.0,98058,0.0
2014-11-20,650000.0,5,3.5,25245,2.0,0.0,3,9,1460.0,1996,0.0,98056,0.0
2014-08-07,320000.0,4,2.75,7500,1.0,0.0,3,8,1020.0,1967,0.0,98023,0.0
2014-11-13,247000.0,3,2.0,7198,1.5,0.0,3,7,0.0,1916,2013.0,98022,1.0
2014-10-03,320000.0,4,1.75,11180,1.0,0.0,4,8,0.0,1968,0.0,98059,0.0
2014-05-07,255000.0,5,2.25,8632,1.0,0.0,3,7,1030.0,1962,0.0,98146,0.0
2015-03-09,438000.0,3,1.75,9660,1.0,0.0,3,7,0.0,1962,0.0,98034,0.0
2015-03-04,900000.0,3,2.5,16603,2.0,0.0,3,10,0.0,2000,0.0,98075,0.0
2014-06-20,441000.0,3,2.75,7280,1.0,0.0,3,7,750.0,1979,0.0,98034,0.0
2014-08-12,420000.0,3,2.0,38332,1.0,0.0,4,7,1010.0,1975,0.0,98027,0.0
2014-12-08,370000.0,3,1.75,7000,1.0,0.0,3,7,400.0,1976,0.0,98034,0.0
2015-02-19,269950.0,2,1.75,7250,1.0,0.0,5,5,640.0,1949,0.0,98198,0.0
2015-03-24,807100.0,4,2.5,4499,2.0,0.0,3,9,0.0,1999,0.0,98006,0.0
2014-06-05,653000.0,3,2.5,9750,1.0,0.0,4,8,1070.0,1979,0.0,98034,0.0
2014-06-11,371500.0,3,2.0,8336,1.0,0.0,5,7,0.0,1964,0.0,98133,0.0
2015-03-16,284000.0,3,1.75,21000,1.0,0.0,3,7,0.0,1954,0.0,98166,0.0
2015-01-02,272000.0,3,1.75,7140,1.0,0.0,4,7,490.0,1978,0.0,98023,0.0
2014-05-02,313000.0,3,1.5,7912,1.5,0.0,3,7,0.0,1955,0.0,98133,0.0
2015-01-16,917500.0,4,2.5,35003,2.0,0.0,3,10,1310.0,1984,0.0,98033,0.0
2014-09-29,673000.0,4,2.25,8190,2.0,0.0,4,8,0.0,1980,0.0,98006,0.0
2015-02-10,425000.0,3,2.5,1100,2.0,0.0,3,8,300.0,2008,0.0,98122,0.0
2014-07-09,399950.0,5,2.75,5400,1.0,0.0,3,7,650.0,1986,0.0,98144,0.0
2014-05-30,385000.0,3,1.0,4800,1.0,0.0,3,6,0.0,1901,0.0,98122,0.0
2014-11-17,269950.0,3,1.5,7560,1.0,0.0,4,7,630.0,1975,0.0,98022,0.0
2015-01-07,330000.0,2,1.0,8220,1.0,0.0,3,7,290.0,1949,0.0,98177,0.0
2014-07-25,260000.0,3,2.5,5797,2.0,0.0,3,7,0.0,1988,0.0,98030,0.0
2015-04-14,470000.0,4,3.0,5125,1.5,0.0,4,7,700.0,1925,0.0,98126,0.0
2014-06-13,589000.0,4,3.0,9600,2.0,0.0,5,7,0.0,1961,0.0,98034,0.0
2014-07-23,163500.0,2,1.5,3419,2.0,0.0,3,7,0.0,1996,0.0,98038,0.0
2014-09-05,835000.0,4,2.75,13412,2.0,0.0,3,9,990.0,1993,0.0,98052,0.0
2014-11-21,1100000.0,5,3.0,12850,1.0,0.0,4,10,2000.0,1986,0.0,98033,0.0
2015-04-15,269000.0,4,1.75,10000,1.0,0.0,4,8,390.0,1969,0.0,98023,0.0
2014-05-05,560000.0,3,2.5,8744,2.0,0.0,3,8,0.0,1987,0.0,98074,0.0
2015-04-18,615000.0,4,1.0,2400,1.5,0.0,4,6,0.0,1901,0.0,98103,0.0
2014-12-05,585188.0,3,2.25,10026,1.0,0.0,3,8,800.0,1975,0.0,98052,0.0
2014-08-18,305000.0,3,1.75,9480,1.0,0.0,3,7,430.0,1977,0.0,98034,0.0
2014-11-05,166950.0,3,1.0,8820,1.0,0.0,3,6,0.0,1959,0.0,98058,0.0
2014-09-12,799000.0,3,2.5,9897,1.0,0.0,4,8,0.0,1959,0.0,98040,0.0
2014-06-25,400000.0,3,2.5,7508,1.0,0.0,4,7,760.0,1962,0.0,98133,0.0
2014-12-01,230000.0,3,1.0,10228,1.0,0.0,3,7,0.0,1948,0.0,98155,0.0
2014-05-15,256883.0,3,2.5,5025,2.0,0.0,3,8,0.0,2003,0.0,98023,0.0
2014-11-11,423000.0,4,2.0,6480,1.5,0.0,5,7,840.0,1920,0.0,98108,0.0
2014-07-23,465000.0,3,2.5,4084,2.0,0.0,3,8,0.0,2007,0.0,98126,0.0
2015-01-13,440000.0,3,2.5,66211,2.0,0.0,3,7,0.0,1997,0.0,98024,0.0
2014-10-14,385000.0,3,1.75,155073,1.0,0.0,4,7,0.0,1969,0.0,98038,0.0
2015-03-11,210000.0,3,1.0,11725,1.0,0.0,4,6,0.0,1943,0.0,98056,0.0
2014-11-12,297000.0,3,2.5,14952,2.0,0.0,3,8,0.0,1994,0.0,98042,0.0
2014-07-16,470000.0,3,1.0,5000,1.0,0.0,3,7,0.0,1952,0.0,98107,0.0
2014-08-04,226500.0,3,1.5,7370,1.0,0.0,4,7,400.0,1976,0.0,98023,0.0
2015-03-03,274250.0,3,1.0,8450,1.0,0.0,4,6,0.0,1962,0.0,98059,0.0
2014-08-04,840000.0,4,1.75,11010,1.0,0.0,4,9,850.0,1966,0.0,98040,0.0
2014-09-19,677900.0,3,2.5,4587,2.0,0.0,3,8,0.0,2010,0.0,98052,0.0
2015-02-05,425000.0,3,1.0,5864,1.0,0.0,3,7,0.0,1915,0.0,98116,0.0
2014-11-23,180250.0,2,0.75,9600,1.0,0.0,3,6,0.0,1941,0.0,98166,0.0
2014-07-17,464000.0,6,3.0,3404,2.0,0.0,3,7,700.0,1920,1994.0,98133,1.0
2015-04-22,320000.0,4,2.25,7579,2.0,0.0,3,8,0.0,1993,0.0,98038,0.0
2014-07-17,625504.0,3,2.25,1566,2.0,0.0,3,8,210.0,2014,0.0,98105,0.0
2014-05-15,592500.0,4,2.5,12032,1.0,0.0,3,9,0.0,1983,0.0,98074,0.0
2015-01-14,465000.0,3,2.5,17936,2.0,0.0,3,9,0.0,2005,0.0,98001,0.0
2014-05-27,477000.0,4,2.75,6270,2.0,0.0,3,8,0.0,1978,0.0,98118,0.0
2015-01-15,280000.0,2,1.0,16400,1.0,0.0,3,6,0.0,1923,0.0,98168,0.0
2015-02-21,1510000.0,5,3.0,33474,1.0,0.0,3,9,1430.0,1957,1991.0,98040,1.0
2014-07-03,445838.0,3,2.5,5692,2.0,0.0,3,8,0.0,2000,0.0,98146,0.0
2014-08-28,1070000.0,2,2.25,14864,1.0,0.0,3,8,1950.0,1947,0.0,98144,0.0
2014-10-23,467000.0,2,1.5,10800,1.0,0.0,4,8,0.0,1947,0.0,98177,0.0
2014-08-22,686000.0,4,2.5,6440,2.0,0.0,3,10,0.0,1999,0.0,98075,0.0
2014-06-05,279950.0,3,2.0,9750,1.0,0.0,3,7,400.0,1961,0.0,98198,0.0
2014-09-04,527000.0,4,2.25,19436,2.0,0.0,3,8,0.0,1987,0.0,98011,0.0
2014-09-18,325000.0,3,2.25,16020,1.0,0.0,4,8,440.0,1966,0.0,98030,0.0
2014-09-03,328000.0,3,2.25,8379,2.0,0.0,3,7,0.0,1994,0.0,98038,0.0
2014-06-04,390000.0,3,2.25,7500,1.0,0.0,5,7,0.0,1942,0.0,98146,0.0
2015-03-09,479950.0,2,2.0,6516,1.0,0.0,3,8,0.0,2005,0.0,98053,0.0
2014-05-29,264950.0,4,2.25,9753,1.0,0.0,4,7,600.0,1978,0.0,98023,0.0
2015-01-15,235000.0,3,1.0,15246,1.0,0.0,4,7,450.0,1961,0.0,98031,0.0
2015-03-03,516500.0,3,2.5,4729,2.0,0.0,3,7,0.0,2004,0.0,98053,0.0
2015-04-13,655000.0,2,1.75,15798,2.0,1.0,3,7,220.0,1915,1978.0,98166,1.0
2014-06-16,500000.0,4,2.75,15347,1.0,0.0,5,7,0.0,1960,0.0,98059,0.0
2014-11-21,315000.0,6,2.75,7350,1.0,0.0,3,8,1160.0,1978,0.0,98023,0.0
2014-11-20,213000.0,2,1.0,10200,1.0,0.0,3,6,0.0,1961,0.0,98024,0.0
2014-09-02,475000.0,3,1.5,5280,1.5,0.0,5,7,860.0,1947,0.0,98108,0.0
2014-06-10,1030000.0,5,4.0,28040,2.0,0.0,3,10,0.0,1983,0.0,98033,0.0
2015-04-09,416000.0,3,2.0,94300,1.0,0.0,5,7,580.0,1976,0.0,98010,0.0
2015-03-20,410000.0,4,1.0,4740,1.5,0.0,3,7,300.0,1904,2005.0,98122,1.0
2014-07-01,800000.0,3,3.5,221284,2.0,0.0,3,10,300.0,1993,0.0,98077,0.0
2014-05-29,472000.0,6,2.5,14034,1.0,0.0,4,9,2060.0,1965,0.0,98003,0.0
2014-12-08,225000.0,3,1.75,8505,1.0,0.0,4,7,0.0,1968,0.0,98003,0.0
2014-10-01,210000.0,2,1.0,6000,1.0,0.0,3,6,0.0,1940,0.0,98126,0.0
2015-01-27,455000.0,2,1.0,5000,1.5,0.0,2,7,0.0,1925,0.0,98115,0.0
2015-04-27,225000.0,3,1.0,8316,1.0,0.0,4,6,0.0,1954,0.0,98002,0.0
2014-08-26,480000.0,2,1.0,3060,1.0,0.0,4,7,240.0,1918,0.0,98103,0.0
2015-02-12,363000.0,3,2.5,11872,2.0,0.0,3,9,0.0,1990,0.0,98023,0.0
2014-09-29,2400000.0,4,2.5,8354,1.0,1.0,3,9,1820.0,2000,0.0,98074,0.0
2015-02-26,181000.0,2,1.5,5120,1.0,0.0,3,6,0.0,1954,0.0,98106,0.0
2015-03-14,250000.0,4,2.0,7312,1.0,0.0,4,7,0.0,1976,0.0,98002,0.0
2015-04-22,481000.0,3,1.75,3000,1.0,0.0,4,6,790.0,1918,0.0,98103,0.0
2014-09-23,260000.0,3,2.0,7209,1.0,0.0,4,7,570.0,1978,0.0,98032,0.0
2014-05-13,455000.0,4,2.5,7685,2.0,0.0,3,9,0.0,2001,0.0,98058,0.0
2015-04-01,415000.0,3,2.25,36224,2.0,0.0,3,8,0.0,1991,0.0,98045,0.0
2015-04-21,349500.0,3,1.0,3538,1.0,0.0,3,7,600.0,1953,0.0,98118,0.0
2014-09-29,245000.0,3,2.5,7442,2.0,0.0,3,7,0.0,1987,0.0,98030,0.0
2014-05-19,592500.0,2,2.0,9191,1.5,0.0,5,7,0.0,1928,0.0,98115,0.0
2014-10-20,385000.0,4,1.75,7620,1.0,0.0,4,7,1180.0,1955,0.0,98106,0.0
2015-02-11,315000.0,3,1.75,11455,1.0,0.0,4,7,380.0,1974,0.0,98059,0.0
2014-11-24,255000.0,3,1.0,10170,1.0,0.0,3,7,0.0,1979,0.0,98045,0.0
2014-08-29,693000.0,4,2.5,4425,2.0,0.0,3,8,0.0,2006,0.0,98052,0.0
2014-12-02,780000.0,3,1.0,4400,1.5,0.0,3,8,200.0,1911,0.0,98112,0.0
2014-10-24,237000.0,3,1.75,8470,1.0,0.0,4,7,0.0,1960,0.0,98198,0.0
2014-12-16,525000.0,3,2.25,40510,2.0,0.0,3,10,780.0,1979,0.0,98074,0.0
2015-04-28,425000.0,2,1.0,5040,1.0,0.0,3,5,0.0,1930,0.0,98144,0.0
2014-10-27,369900.0,1,0.75,10079,1.0,1.0,5,5,0.0,1936,0.0,98070,0.0
2014-05-19,290000.0,4,2.5,7280,2.0,0.0,4,7,0.0,1988,0.0,98031,0.0
2014-09-29,285000.0,3,1.0,10701,1.0,0.0,3,7,0.0,1954,0.0,98106,0.0
2014-08-14,415000.0,2,1.0,4500,1.0,0.0,3,7,0.0,1937,0.0,98115,0.0
2015-04-09,272500.0,3,2.5,9900,1.0,0.0,3,8,650.0,1979,0.0,98023,0.0
2015-05-04,2900000.0,4,3.25,20100,1.5,0.0,3,11,300.0,1982,0.0,98004,0.0
